1.093	-0.0006	-5E-05
1.094	0.0003	0
1.095	-0.00075	0
1.096	-0.0012	-5E-05
1.097	0.00015	0
1.098	0.00015	0
1.099	0	0
1.1	-0.00045	0
1.101	-0.00075	0
1.102	0	0
1.103	-0.0006	0
1.104	-0.00075	-5E-05
1.105	-0.00075	0
1.106	-0.0006	0
1.107	-0.00015	-5E-05
1.108	-0.00075	-5E-05
1.109	-0.0006	0
1.11	-0.00075	-5E-05
1.111	-0.0006	0
1.112	-0.0009	0
1.113	-0.0006	0
1.114	-0.00075	0
1.115	-0.00015	-5E-05
1.116	-0.00075	0
1.117	-0.0012	-5E-05
1.118	-0.0006	0
1.119	-0.00045	-5E-05
1.12	-0.00045	-5E-05
1.121	-0.00135	0
1.122	-0.0012	-5E-05
1.123	-0.00105	0
1.124	-0.00105	0
1.125	-0.0006	0
1.126	-0.00075	0
1.127	-0.00105	0
1.128	-0.00045	-5E-05
1.129	-0.00045	0
1.13	-0.0006	0
1.131	-0.0003	-5E-05
1.132	-0.00045	0
1.133	-0.0009	0
1.134	-0.0012	0
1.135	-0.0006	-5E-05
1.136	-0.00045	-5E-05
1.137	-0.0015	0
1.138	-0.0012	0
1.139	-0.0009	0
1.14	-0.0009	-5E-05
1.141	-0.0006	-5E-05
1.142	-0.00135	0
1.143	-0.00075	0
1.144	-0.00075	0
1.145	-0.0012	0
1.146	-0.00075	-5E-05
1.147	-0.00075	0
1.148	-0.0006	-5E-05
1.149	0.00015	0
1.15	-0.00075	-5E-05
1.151	-0.00105	0
1.152	-0.0003	0
1.153	-0.0009	0
1.154	-0.00105	0
1.155	-0.0009	0
1.156	-0.0009	0
1.157	-0.0009	-5E-05
1.158	-0.0009	0
1.159	-0.0009	0
1.16	-0.0006	-5E-05
1.161	-0.0003	-5E-05
1.162	-0.00045	-5E-05
1.163	-0.0006	-5E-05
1.164	-0.0003	0
1.165	-0.0006	0
1.166	-0.0009	0
1.167	-0.00045	0
1.168	-0.0009	0
1.169	-0.0009	0
1.17	-0.00045	0
1.171	-0.00045	-5E-05
1.172	-0.0009	0
1.173	-0.00075	-5E-05
1.174	-0.00075	-5E-05
1.175	-0.00075	-5E-05
1.176	-0.0009	-5E-05
1.177	-0.00075	0
1.178	-0.0006	-5E-05
1.179	-0.00075	0
1.18	0.00015	0
1.181	-0.0003	0
1.182	0	0
1.183	-0.0006	0
1.184	-0.0006	-5E-05
1.185	-0.00045	0
1.186	-0.00105	0
1.187	-0.0012	0
1.188	-0.0006	0
1.189	-0.00075	-5E-05
1.19	-0.0015	0
1.191	-0.00045	0
1.192	-0.00105	-5E-05
1.193	-0.0006	0
1.194	-0.00105	0
1.195	-0.0003	0
1.196	-0.0003	0
1.197	-0.0012	0
1.198	-0.00045	0
1.199	-0.0003	0
1.2	-0.0009	-5E-05
1.201	-0.00015	0
1.202	0	0
1.203	-0.00045	-5E-05
1.204	-0.00075	0
1.205	-0.00075	-5E-05
1.206	-0.0006	-5E-05
1.207	-0.0003	0
1.208	-0.00105	-5E-05
1.209	-0.0006	0
1.21	-0.00105	0
1.211	-0.00105	0
1.212	-0.0006	0
1.213	-0.00075	0
1.214	-0.00045	0
1.215	-0.00075	0
1.216	-0.0003	-5E-05
1.217	-0.00015	0
1.218	-0.00075	0
1.219	-0.0003	-5E-05
1.22	-0.00075	0
1.221	-0.0012	-5E-05
1.222	-0.00015	-5E-05
1.223	-0.0009	0
1.224	-0.00105	0
1.225	-0.00075	0
1.226	-0.00105	-5E-05
1.227	-0.00045	0
1.228	-0.0009	0
1.229	-0.0012	0
1.23	-0.0006	-5E-05
1.231	-0.00075	0
1.232	0	-5E-05
1.233	-0.0003	0
1.234	-0.0006	0
1.235	-0.0003	-5E-05
1.236	-0.00105	0
1.237	-0.00075	0
1.238	-0.0006	-5E-05
1.239	-0.0006	0
1.24	-0.00135	-5E-05
1.241	-0.00075	0
1.242	-0.0015	0
1.243	-0.0006	-5E-05
1.244	-0.0003	0
1.245	-0.0006	0
1.246	-0.00075	0
1.247	-0.00075	0
1.248	-0.0003	-5E-05
1.249	-0.0003	-5E-05
1.25	-0.00045	0
1.251	-0.0009	0
1.252	-0.0009	0
1.253	-0.0003	0
1.254	-0.0003	0
1.255	-0.00075	0
1.256	-0.0009	0
1.257	-0.0009	0
1.258	-0.00105	0
1.259	-0.0006	0
1.26	-0.00075	-5E-05
1.261	-0.00075	0
1.262	-0.00075	-5E-05
1.263	-0.00075	0
1.264	-0.00045	0
1.265	-0.0003	0
1.266	-0.0003	0
1.267	-0.00045	0
1.268	-0.0003	0
1.269	-0.0006	0
1.27	-0.00045	-5E-05
1.271	-0.00015	0
1.272	-0.00105	0
1.273	-0.0009	0
1.274	-0.00015	0
1.275	-0.00075	-5E-05
1.276	-0.0006	-5E-05
1.277	-0.0006	0
1.278	-0.00075	0
1.279	-0.00015	-5E-05
1.28	-0.0003	0
1.281	-0.0003	-5E-05
1.282	0.00015	0
1.283	-0.0009	0
1.284	-0.0006	0
1.285	-0.00045	0
1.286	-0.00075	-5E-05
1.287	-0.00075	-5E-05
1.288	-0.00045	0
1.289	-0.00045	0
1.29	-0.00075	-5E-05
1.291	-0.00075	0
1.292	-0.0006	-5E-05
1.293	-0.00075	0
1.294	-0.0009	0
1.295	-0.00015	0
1.296	-0.00045	0
1.297	-0.00045	0
1.298	-0.0003	0
1.299	-0.00045	0
1.3	-0.00015	0
1.301	-0.00075	-5E-05
1.302	-0.00015	0
1.303	-0.00015	-5E-05
1.304	-0.0015	0
1.305	-0.00045	-5E-05
1.306	-0.00045	-5E-05
1.307	-0.0009	0
1.308	-0.00075	0
1.309	-0.0009	-5E-05
1.31	-0.0009	0
1.311	-0.0003	0
1.312	-0.00045	0
1.313	0.0003	-5E-05
1.314	-0.00015	-5E-05
1.315	-0.00075	0
1.316	-0.0006	-5E-05
1.317	-0.00045	-5E-05
1.318	-0.0006	-5E-05
1.319	-0.0006	0
1.32	-0.00105	0
1.321	-0.0006	0
1.322	-0.00105	0
1.323	-0.00045	-5E-05
1.324	-0.00045	0
1.325	-0.00075	-5E-05
1.326	-0.0003	-5E-05
1.327	-0.0009	-5E-05
1.328	-0.0009	0
1.329	-0.00075	0
1.33	-0.00075	0
1.331	-0.00045	-5E-05
1.332	-0.00075	0
1.333	-0.00105	0
1.334	-0.00045	0
1.335	-0.0009	0
1.336	-0.00135	0
1.337	-0.0012	0
1.338	-0.00075	0
1.339	-0.0009	0
1.34	-0.00135	0
1.341	-0.0006	0
1.342	-0.00075	-5E-05
1.343	-0.00135	5E-05
1.344	-0.0006	-5E-05
1.345	-0.0006	0
1.346	-0.0006	0
1.347	-0.0003	0
1.348	-0.00075	0
1.349	-0.00105	0
1.35	-0.00075	0
1.351	-0.0009	0
1.352	0	0
1.353	-0.0006	0
1.354	-0.00105	0
1.355	-0.0009	-5E-05
1.356	-0.0009	-5E-05
1.357	0.00015	-5E-05
1.358	-0.00105	0
1.359	-0.0012	-5E-05
1.36	-0.00105	-5E-05
1.361	-0.0006	-5E-05
1.362	-0.00015	0
1.363	-0.00015	-5E-05
1.364	-0.0006	0
1.365	-0.00045	0
1.366	-0.00015	0
1.367	-0.0003	0
1.368	0.0003	-5E-05
1.369	-0.00045	0
1.37	-0.0006	0
1.371	-0.00075	-5E-05
1.372	-0.0006	-5E-05
1.373	-0.00045	0
1.374	-0.00045	-5E-05
1.375	-0.0006	0
1.376	-0.00075	0
1.377	-0.00015	0
1.378	0.00045	-5E-05
1.379	-0.00015	0
1.38	-0.00015	0
1.381	-0.0003	0
1.382	-0.00045	0
1.383	0.00015	0
1.384	0	0
1.385	0.00015	0
1.386	-0.0003	0
1.387	-0.0003	-5E-05
1.388	0	0
1.389	0	0
1.39	-0.00015	0
1.391	-0.0003	0
1.392	-0.00045	-5E-05
1.393	-0.00045	0
1.394	-0.0003	-5E-05
1.395	-0.0006	0
1.396	-0.00015	0
1.397	-0.00045	0
1.398	-0.0003	0
1.399	0	-5E-05
1.4	-0.00015	-5E-05
1.401	-0.00015	-5E-05
1.402	0	0
1.403	-0.00015	0
1.404	-0.00045	-5E-05
1.405	-0.0009	-5E-05
1.406	-0.0006	0
1.407	-0.00045	0
1.408	-0.0006	0
1.409	-0.0003	0
1.41	-0.0009	0
1.411	-0.0003	-5E-05
1.412	-0.00045	-5E-05
1.413	-0.0006	0
1.414	-0.00045	-5E-05
1.415	-0.0006	0
1.416	-0.00075	0
1.417	-0.00015	-5E-05
1.418	-0.00075	0
1.419	-0.0006	0
1.42	-0.0003	0
1.421	-0.0006	-5E-05
1.422	-0.00075	0
1.423	-0.00105	0
1.424	-0.00105	0
1.425	-0.0009	-5E-05
1.426	-0.00135	-5E-05
1.427	-0.00105	-5E-05
1.428	-0.0006	-5E-05
1.429	-0.0009	0
1.43	-0.00045	-5E-05
1.431	-0.0003	0
1.432	-0.00045	0
1.433	-0.00045	0
1.434	-0.0009	0
1.435	-0.00105	0
1.436	-0.00105	0
1.437	-0.0012	-5E-05
1.438	-0.00075	-5E-05
1.439	-0.0009	0
1.44	-0.00105	0
1.441	-0.0006	0
1.442	-0.00045	0
1.443	-0.0009	-5E-05
1.444	-0.0009	0
1.445	-0.00075	0
1.446	-0.00075	0
1.447	-0.00075	-5E-05
1.448	-0.0003	0
1.449	-0.00045	0
1.45	-0.00105	0
1.451	-0.0006	0
1.452	-0.0003	0
1.453	-0.00045	0
1.454	-0.0009	-5E-05
1.455	-0.0009	0
1.456	-0.00105	-5E-05
1.457	-0.00105	0
1.458	-0.0009	0
1.459	-0.00075	0
1.46	-0.0012	-5E-05
1.461	-0.0003	5E-05
1.462	-0.00045	0
1.463	-0.00045	0
1.464	-0.0009	-5E-05
1.465	-0.0006	0
1.466	-0.00045	0
1.467	-0.0003	-5E-05
1.468	-0.00135	0
1.469	-0.0003	0
1.47	-0.0003	-5E-05
1.471	-0.00045	0
1.472	-0.0003	0
1.473	-0.0009	0
1.474	-0.00045	0
1.475	-0.0003	0
1.476	-0.0003	0
1.477	-0.00075	0
1.478	-0.0009	0
1.479	-0.0003	0
1.48	0	0
1.481	-0.00045	0
1.482	-0.00015	0
1.483	-0.0003	0
1.484	0	0
1.485	-0.00015	-5E-05
1.486	-0.00105	-5E-05
1.487	-0.0006	0
1.488	-0.00015	0
1.489	-0.0006	0
1.49	-0.00105	0
1.491	-0.0006	0
1.492	-0.00015	0
1.493	-0.00045	0
1.494	-0.0006	0
1.495	-0.0003	0
1.496	0.00015	-5E-05
1.497	0	-5E-05
1.498	0	0
1.499	-0.0009	-5E-05
1.5	0.00015	0
1.501	-0.00015	0
1.502	-0.0003	0
1.503	0.00015	0
1.504	-0.0006	0
1.505	-0.0003	0
1.506	-0.00015	-5E-05
1.507	-0.0003	-5E-05
1.508	-0.00075	-5E-05
1.509	-0.00045	0
1.51	-0.00045	-5E-05
1.511	0	0
1.512	-0.0003	-5E-05
1.513	0	-5E-05
1.514	-0.00015	0
1.515	-0.00045	0
1.516	-0.00015	-5E-05
1.517	-0.0003	0
1.518	0	0
1.519	0	0
1.52	-0.00075	0
1.521	-0.0006	0
1.522	-0.00075	0
1.523	-0.0009	0
1.524	-0.0003	-5E-05
1.525	-0.00075	0
1.526	-0.00045	0
1.527	-0.0003	-5E-05
1.528	-0.0006	0
1.529	-0.00015	0
1.53	-0.0003	0
1.531	-0.0003	-5E-05
1.532	-0.00045	-5E-05
1.533	-0.0006	0
1.534	0.00045	0
1.535	0	0
1.536	-0.0009	0
1.537	-0.00105	-5E-05
1.538	-0.00045	0
1.539	-0.00045	-5E-05
1.54	-0.00075	-5E-05
1.541	-0.00105	-5E-05
1.542	-0.00075	-5E-05
1.543	0	0
1.544	-0.0006	0
1.545	-0.00045	0
1.546	-0.00075	0
1.547	-0.00045	0
1.548	-0.0003	0
1.549	-0.00045	0
1.55	-0.0003	-5E-05
1.551	-0.0009	0
1.552	-0.0003	-5E-05
1.553	-0.0006	0
1.554	-0.0009	0
1.555	-0.00045	-5E-05
1.556	-0.00075	0
1.557	-0.0012	0
1.558	-0.00075	-5E-05
1.559	-0.0009	0
1.56	-0.0006	0
1.561	-0.00105	0
1.562	-0.00075	0
1.563	-0.00045	0
1.564	-0.00075	0
1.565	-0.00045	0
1.566	-0.00045	-5E-05
1.567	-0.0006	0
1.568	-0.0003	-5E-05
1.569	-0.00045	0
1.57	-0.0009	0
1.571	-0.00075	-5E-05
1.572	-0.0009	-5E-05
1.573	-0.0009	0
1.574	-0.00105	0
1.575	-0.00105	0
1.576	-0.00045	-5E-05
1.577	-0.00105	0
1.578	-0.0009	0
1.579	-0.0006	-5E-05
1.58	-0.00015	-5E-05
1.581	-0.00015	-5E-05
1.582	-0.0003	0
1.583	-0.00045	0
1.584	-0.0003	0
1.585	-0.00075	-5E-05
1.586	-0.0009	0
1.587	-0.0009	-5E-05
1.588	-0.0006	0
1.589	-0.00045	-5E-05
1.59	-0.0006	0
1.591	-0.0009	0
1.592	-0.0006	-5E-05
1.593	-0.00075	0
1.594	-0.0003	-5E-05
1.595	-0.00015	-5E-05
1.596	-0.0003	0
1.597	-0.0003	0
1.598	-0.0003	-5E-05
1.599	-0.00015	0
1.6	-0.00045	0
1.601	-0.00045	0
1.602	-0.00015	0
1.603	-0.00075	0
1.604	-0.00045	0
1.605	-0.00015	-5E-05
1.606	-0.00075	-5E-05
1.607	-0.0006	0
1.608	-0.00045	0
1.609	-0.0009	-5E-05
1.61	-0.00015	5E-05
1.611	-0.0003	-5E-05
1.612	-0.00015	0
1.613	-0.00045	0
1.614	-0.0006	-5E-05
1.615	0.00015	0
1.616	-0.0003	0
1.617	-0.0003	0
1.618	-0.00015	0
1.619	-0.0006	-5E-05
1.62	-0.00015	0
1.621	-0.00015	0
1.622	-0.00045	0
1.623	-0.00075	0
1.624	-0.0006	-5E-05
1.625	-0.00075	0
1.626	-0.0006	0
1.627	-0.0006	0
1.628	-0.0006	-5E-05
1.629	-0.0006	0
1.63	0	0
1.631	0.0003	0
1.632	-0.00015	0
1.633	0.00015	-5E-05
1.634	0	0
1.635	-0.00015	-5E-05
1.636	-0.00045	0
1.637	-0.0009	0
1.638	-0.0006	0
1.639	-0.00045	0
1.64	-0.00045	0
1.641	-0.00015	-5E-05
1.642	-0.00045	0
1.643	-0.0003	0
1.644	0	-5E-05
1.645	-0.00045	-5E-05
1.646	-0.0003	-5E-05
1.647	-0.0003	0
1.648	0.0003	0
1.649	0.0003	0
1.65	-0.00045	-5E-05
1.651	-0.00045	-5E-05
1.652	0	0
1.653	-0.00015	0
1.654	-0.00015	-5E-05
1.655	-0.0006	0
1.656	-0.00015	0
1.657	-0.00015	-5E-05
1.658	-0.00045	0
1.659	-0.00045	0
1.66	-0.00045	0
1.661	-0.0006	0
1.662	0.00015	0
1.663	-0.0003	0
1.664	-0.00015	0
1.665	-0.00015	-5E-05
1.666	-0.00015	0
1.667	-0.0003	-5E-05
1.668	-0.0006	0
1.669	-0.00015	0
1.67	0	0
1.671	-0.00045	-5E-05
1.672	-0.00045	0
1.673	-0.0009	0
1.674	-0.00075	-5E-05
1.675	-0.0003	0
1.676	-0.00105	-5E-05
1.677	-0.0006	0
1.678	-0.0003	-5E-05
1.679	-0.0003	-5E-05
1.68	0	0
1.681	-0.00045	0
1.682	0	0
1.683	0	0
1.684	-0.0003	-5E-05
1.685	-0.00045	5E-05
1.686	-0.0006	0
1.687	-0.00075	0
1.688	-0.00015	0
1.689	-0.0006	0
1.69	-0.0006	0
1.691	-0.00045	-5E-05
1.692	-0.00045	-5E-05
1.693	-0.00045	-5E-05
1.694	-0.00075	-5E-05
1.695	-0.00045	-5E-05
1.696	-0.00015	0
1.697	-0.00015	-5E-05
1.698	0.00015	0
1.699	-0.00015	0
1.7	-0.00015	0
1.701	0.00015	0
1.702	0	0
1.703	-0.0003	0
1.704	-0.00015	0
1.705	-0.00075	0
1.706	-0.00045	0
1.707	-0.00045	0
1.708	-0.00075	-5E-05
1.709	0.00015	0
1.71	-0.0003	-5E-05
1.711	-0.00015	-5E-05
1.712	-0.0003	0
1.713	-0.00015	0
1.714	0.00015	0
1.715	-0.00015	0
1.716	-0.00045	-5E-05
1.717	0.00015	0
1.718	0.00015	0
1.719	0.0006	-5E-05
1.72	0.00015	0
1.721	-0.00045	-5E-05
1.722	-0.00045	0
1.723	-0.0003	-5E-05
1.724	-0.0003	0
1.725	-0.00045	0
1.726	-0.00045	-5E-05
1.727	0	0
1.728	-0.00015	0
1.729	-0.0003	0
1.73	0	0
1.731	0	-5E-05
1.732	0	0
1.733	0	0
1.734	-0.0006	0
1.735	0.00015	0
1.736	-0.0006	-5E-05
1.737	-0.0003	0
1.738	-0.0003	0
1.739	-0.0006	-5E-05
1.74	-0.00015	-5E-05
1.741	-0.00045	0
1.742	-0.0003	0
1.743	0	0
1.744	-0.0006	0
1.745	-0.00045	-5E-05
1.746	-0.0003	-5E-05
1.747	-0.00045	-5E-05
1.748	0.00045	0
1.749	-0.0006	0
1.75	-0.00045	0
1.751	-0.00015	0
1.752	-0.0003	0
1.753	0.0003	0
1.754	-0.0006	0
1.755	-0.00075	0
1.756	-0.0012	0
1.757	-0.00135	0
1.758	-0.00045	0
1.759	-0.00045	0
1.76	-0.0012	-5E-05
1.761	-0.0003	0
1.762	-0.00075	-5E-05
1.763	-0.00015	0
1.764	0	0
1.765	-0.0009	0
1.766	-0.00075	-5E-05
1.767	-0.0009	0
1.768	-0.00075	-5E-05
1.769	-0.00015	0
1.77	-0.00075	0
1.771	-0.00105	0
1.772	-0.00075	0
1.773	-0.0015	-5E-05
1.774	-0.0009	-5E-05
1.775	-0.00135	-5E-05
1.776	-0.0012	0
1.777	-0.0009	-5E-05
1.778	-0.00075	0
1.779	-0.00015	0
1.78	-0.0003	0
1.781	-0.0006	0
1.782	-0.00045	0
1.783	-0.00075	0
1.784	-0.00075	0
1.785	-0.00075	0
1.786	-0.0009	-5E-05
1.787	-0.0003	-5E-05
1.788	-0.00075	0
1.789	-0.00075	-5E-05
1.79	-0.0012	-5E-05
1.791	-0.0009	0
1.792	-0.00045	-5E-05
1.793	-0.0006	0
1.794	-0.0006	0
1.795	-0.00135	0
1.796	-0.00075	-5E-05
1.797	-0.0009	0
1.798	-0.0003	0
1.799	-0.0003	0
1.8	0.0003	0
1.801	-0.0012	5E-05
1.802	-0.0003	0
1.803	-0.00045	-5E-05
1.804	-0.0003	0
1.805	-0.0003	-5E-05
1.806	-0.00135	0
1.807	-0.00075	-5E-05
1.808	-0.00045	-5E-05
1.809	-0.0006	0
1.81	-0.00045	0
1.811	-0.00075	0
1.812	-0.0003	0
1.813	-0.00015	0
1.814	-0.0003	0
1.815	-0.00015	0
1.816	-0.00015	0
1.817	0	0
1.818	0	-5E-05
1.819	-0.0003	0
1.82	-0.00045	0
1.821	-0.0006	-5E-05
1.822	-0.0009	-5E-05
1.823	-0.00045	0
1.824	-0.0009	0
1.825	-0.0006	0
1.826	-0.00045	-5E-05
1.827	-0.0006	0
1.828	-0.00075	0
1.829	-0.00045	0
1.83	-0.00075	0
1.831	0.0003	0
1.832	-0.0006	0
1.833	-0.00105	0
1.834	0	0
1.835	-0.00105	-5E-05
1.836	-0.0006	0
1.837	-0.0006	-5E-05
1.838	-0.0006	0
1.839	-0.00045	0
1.84	-0.0009	0
1.841	-0.00075	0
1.842	-0.00075	-5E-05
1.843	-0.0006	-5E-05
1.844	-0.00045	0
1.845	-0.0006	-5E-05
1.846	-0.0003	0
1.847	-0.0003	-5E-05
1.848	-0.00045	-5E-05
1.849	-0.00045	0
1.85	-0.0006	0
1.851	-0.0009	0
1.852	0	0
1.853	-0.0009	0
1.854	-0.00075	0
1.855	-0.00015	0
1.856	-0.0009	0
1.857	-0.00015	0
1.858	-0.00045	-5E-05
1.859	-0.00075	-5E-05
1.86	-0.00045	0
1.861	-0.0003	-5E-05
1.862	-0.00045	0
1.863	-0.0012	0
1.864	-0.00075	-5E-05
1.865	-0.0003	0
1.866	0	0
1.867	-0.0003	0
1.868	-0.00045	-5E-05
1.869	-0.00045	0
1.87	-0.00015	0
1.871	-0.0006	-5E-05
1.872	-0.00075	-5E-05
1.873	-0.00015	0
1.874	-0.00075	-5E-05
1.875	-0.00075	0
1.876	-0.00075	0
1.877	-0.00075	0
1.878	-0.0003	-5E-05
1.879	-0.0006	0
1.88	-0.0006	0
1.881	0	0
1.882	-0.0009	0
1.883	0	0
1.884	-0.0009	-5E-05
1.885	-0.00075	0
1.886	-0.00015	-5E-05
1.887	0	0
1.888	-0.00075	0
1.889	-0.00075	-5E-05
1.89	-0.00075	0
1.891	-0.0006	0
1.892	-0.00075	0
1.893	-0.00075	0
1.894	0.00015	-5E-05
1.895	-0.00045	-5E-05
1.896	-0.0003	0
1.897	-0.00075	0
1.898	0.00015	0
1.899	0	0
1.9	-0.00045	-5E-05
1.901	-0.0003	0
1.902	-0.0003	0
1.903	-0.00045	0
1.904	-0.00015	0
1.905	-0.0006	0
1.906	-0.0009	0
1.907	-0.00075	-5E-05
1.908	-0.0012	-5E-05
1.909	-0.0003	0
1.91	-0.0006	-5E-05
1.911	-0.0003	0
1.912	-0.0003	-5E-05
1.913	-0.00045	-5E-05
1.914	0.00015	0
1.915	-0.00015	0
1.916	-0.00045	0
1.917	-0.00075	5E-05
1.918	-0.0003	0
1.919	0	0
1.92	-0.00015	-5E-05
1.921	-0.00075	-5E-05
1.922	-0.0003	-5E-05
1.923	0	-5E-05
1.924	-0.0003	-5E-05
1.925	0.00015	0
1.926	-0.00015	-5E-05
1.927	-0.00075	0
1.928	-0.00075	0
1.929	-0.00015	0
1.93	0.0006	0
1.931	0	0
1.932	0.00015	0
1.933	-0.00015	0
1.934	-0.00045	0
1.935	0.00015	0
1.936	-0.0006	0
1.937	-0.00075	-5E-05
1.938	-0.00015	0
1.939	-0.00075	0
1.94	-0.00075	0
1.941	-0.0006	0
1.942	-0.00015	-5E-05
1.943	-0.0009	0
1.944	-0.00045	0
1.945	-0.00015	0
1.946	0.0003	0
1.947	-0.0006	0
1.948	-0.00015	0
1.949	-0.00015	0
1.95	-0.00045	0
1.951	0.0003	0
1.952	0.00015	-5E-05
1.953	0	0
1.954	-0.00045	0
1.955	-0.00045	0
1.956	-0.0003	-5E-05
1.957	-0.0012	0
1.958	-0.00045	0
1.959	-0.00045	0
1.96	-0.0006	0
1.961	0	0
1.962	0.00045	-5E-05
1.963	-0.0003	-5E-05
1.964	0	-5E-05
1.965	-0.00045	0
1.966	0	0
1.967	0.0006	0
1.968	-0.0003	0
1.969	-0.00045	-5E-05
1.97	-0.0003	5E-05
1.971	-0.00045	0
1.972	-0.0006	0
1.973	-0.0003	-5E-05
1.974	-0.00045	0
1.975	-0.0003	0
1.976	-0.00015	0
1.977	-0.00015	0
1.978	-0.0012	-5E-05
1.979	-0.0003	0
1.98	0.00015	-5E-05
1.981	-0.00015	0
1.982	0	0
1.983	-0.00045	0
1.984	0	0
1.985	0.00015	0
1.986	-0.00075	-5E-05
1.987	0	0
1.988	-0.0006	0
1.989	-0.0006	0
1.99	-0.0006	0
1.991	-0.00015	0
1.992	-0.0009	0
1.993	-0.0003	0
1.994	-0.0003	0
1.995	-0.00045	-5E-05
1.996	-0.00045	-5E-05
1.997	-0.00015	0
1.998	0.0006	0
1.999	-0.00045	0
2	-0.00015	0
2.001	0	0
2.002	-0.00015	0
2.003	-0.00045	0
2.004	-0.0009	0
2.005	0.0003	0
2.006	-0.00075	-5E-05
2.007	-0.00075	-5E-05
2.008	-0.00045	0
2.009	-0.00105	-5E-05
2.01	-0.0009	-5E-05
2.011	-0.0003	0
2.012	-0.0006	0
2.013	0.0003	0
2.014	-0.0003	0
2.015	-0.00105	0
2.016	0.00015	-5E-05
2.017	-0.00015	0
2.018	-0.00045	0
2.019	0.00045	-5E-05
2.02	-0.00015	-5E-05
2.021	-0.00045	0
2.022	-0.0003	0
2.023	-0.00075	-5E-05
2.024	-0.00075	0
2.025	-0.00105	-5E-05
2.026	0.00015	-5E-05
2.027	-0.00045	0
2.028	-0.00045	0
2.029	0.0003	0
2.03	-0.00135	0
2.031	-0.00075	0
2.032	-0.00015	0
2.033	-0.00045	-5E-05
2.034	0	0
2.035	-0.0003	-5E-05
2.036	-0.0003	0
2.037	0.0003	0
2.038	-0.00045	0
2.039	-0.0006	0
2.04	-0.00045	0
2.041	-0.0009	-5E-05
2.042	-0.0006	0
2.043	-0.00075	0
2.044	-0.0006	0
2.045	-0.00015	0
2.046	-0.0003	0
2.047	-0.0009	0
2.048	0.00015	0
2.049	-0.00015	0
2.05	0.00015	-5E-05
2.051	-0.00105	-5E-05
2.052	-0.0009	0
2.053	-0.0003	-5E-05
2.054	-0.00075	0
2.055	-0.0003	0
2.056	-0.0015	0
2.057	-0.0009	0
2.058	-0.0006	-5E-05
2.059	-0.00075	0
2.06	-0.00075	-5E-05
2.061	-0.0009	-5E-05
2.062	-0.00075	0
2.063	-0.0003	0
2.064	-0.00045	-5E-05
2.065	-0.00045	0
2.066	0	0
2.067	-0.00075	0
2.068	-0.00015	-5E-05
2.069	-0.00045	0
2.07	-0.00075	0
2.071	0	-5E-05
2.072	-0.0009	0
2.073	-0.0009	-5E-05
2.074	-0.00045	-5E-05
2.075	-0.00075	0
2.076	-0.00075	0
2.077	-0.0012	-5E-05
2.078	-0.0012	0
2.079	-0.00105	-5E-05
2.08	-0.0003	0
2.081	-0.00015	0
2.082	-0.0006	0
2.083	-0.0006	0
2.084	-0.00015	-5E-05
2.085	-0.0006	0
2.086	-0.00105	0
2.087	-0.00075	-5E-05
2.088	-0.0009	0
2.089	-0.00075	-5E-05
2.09	-0.00135	-0.0001
2.091	-0.00045	0
2.092	-0.0003	0
2.093	-0.0012	0
2.094	-0.0009	0
2.095	-0.00075	0
2.096	-0.0006	0
2.097	-0.0003	0
2.098	-0.00075	-5E-05
2.099	-0.0003	0
2.1	-0.00015	0
2.101	-0.00045	0
2.102	-0.0003	0
2.103	-0.0012	-5E-05
2.104	-0.0009	-5E-05
2.105	-0.0006	0
2.106	-0.0012	-5E-05
2.107	-0.00105	0
2.108	-0.0006	0
2.109	-0.00015	0
2.11	-0.0009	0
2.111	-0.0012	-5E-05
2.112	0	0
2.113	0	0
2.114	-0.0006	0
2.115	-0.0006	-5E-05
2.116	-0.0009	-5E-05
2.117	0.00015	0
2.118	-0.00015	0
2.119	-0.0006	0
2.12	-0.00045	0
2.121	-0.0009	0
2.122	-0.00075	-5E-05
2.123	-0.00015	0
2.124	-0.00135	0
2.125	-0.0009	0
2.126	0.00045	0
2.127	-0.0003	-5E-05
2.128	-0.00015	5E-05
2.129	0.00015	0
2.13	0.0003	0
2.131	0	-5E-05
2.132	-0.0003	0
2.133	-0.00015	-5E-05
2.134	0	0
2.135	0.00015	0
2.136	0.00015	0
2.137	-0.0003	0
2.138	0.00015	0
2.139	0.00015	0
2.14	-0.00015	0
2.141	0.00015	0
2.142	-0.0009	0
2.143	0.0003	0
2.144	0.00045	0
2.145	0.00015	0
2.146	0.00015	-5E-05
2.147	0.0006	0
2.148	0.00045	0
2.149	0.00045	0
2.15	0.00045	-5E-05
2.151	0.00045	0
2.152	0.00075	0
2.153	0.0003	-5E-05
2.154	0	0
2.155	-0.0003	0
2.156	0	-5E-05
2.157	0	-5E-05
2.158	0	-5E-05
2.159	0.00045	0
2.16	-0.00015	0
2.161	0.00015	-5E-05
2.162	0.0009	0
2.163	0.0003	-5E-05
2.164	0.00075	0
2.165	-0.00075	-5E-05
2.166	0.00015	0
2.167	0.00045	0
2.168	0.0006	-5E-05
2.169	0.00045	-5E-05
2.17	-0.00075	-5E-05
2.171	-0.00075	-5E-05
2.172	0	-5E-05
2.173	0	0
2.174	-0.00045	-5E-05
2.175	-0.0003	0
2.176	-0.00075	-5E-05
