0.378	-0.0012	-5E-05
0.379	-0.0006	0
0.38	-0.0009	-5E-05
0.381	-0.0009	-5E-05
0.382	-0.0006	0
0.383	0.0003	0
0.384	-0.00045	0
0.385	-0.00075	0
0.386	0	0
0.387	0	-5E-05
0.388	-0.0003	0
0.389	-0.0006	0
0.39	-0.0012	-5E-05
0.391	-0.0003	0
0.392	-0.00015	0
0.393	-0.0006	0
0.394	-0.00075	0
0.395	-0.0012	0
0.396	-0.00015	0
0.397	-0.0003	0
0.398	-0.0009	-5E-05
0.399	-0.00015	0
0.4	-0.00015	0
0.401	-0.00015	0
0.402	-0.00075	0
0.403	-0.00075	0
0.404	0.0003	0
0.405	0	0
0.406	-0.00075	-5E-05
0.407	-0.0003	0
0.408	-0.0006	-5E-05
0.409	-0.00015	0
0.41	0	0
0.411	-0.00075	0
0.412	-0.0006	-5E-05
0.413	-0.0006	0
0.414	-0.00015	0
0.415	0.00015	0
0.416	-0.0003	0
0.417	0	0
0.418	0	0
0.419	0.0003	-5E-05
0.42	0.0003	-5E-05
0.421	0.00015	-5E-05
0.422	-0.00015	0
0.423	-0.00015	0
0.424	-0.0006	-5E-05
0.425	0.00045	0
0.426	0	0
0.427	0	0
0.428	0.00015	-5E-05
0.429	-0.00015	-5E-05
0.43	0	0
0.431	-0.00045	0
0.432	-0.00015	0
0.433	0.00045	0
0.434	-0.0003	0
0.435	0.0003	0
0.436	0.00015	0
0.437	0	0
0.438	0.00045	0
0.439	0	-5E-05
0.44	-0.00015	0
0.441	0	0
0.442	-0.0003	0
0.443	-0.0003	0
0.444	-0.0003	-5E-05
0.445	-0.0003	0
0.446	-0.00015	-5E-05
0.447	-0.00015	0
0.448	0	0
0.449	-0.00015	0
0.45	0	0
0.451	0.00015	0
0.452	-0.0006	0
0.453	0	-5E-05
0.454	0	0
0.455	0	0
0.456	0	0
0.457	-0.0003	-5E-05
0.458	-0.00045	0
0.459	-0.00015	0
0.46	-0.00045	-5E-05
0.461	-0.00045	0
0.462	-0.0009	0
0.463	-0.00045	0
0.464	-0.00045	0
0.465	-0.0003	-5E-05
0.466	-0.00015	0
0.467	-0.00045	0
0.468	-0.0006	0
0.469	0	0
0.47	-0.0003	0
0.471	0.00015	0
0.472	-0.00045	0
0.473	-0.0003	0
0.474	0	0
0.475	-0.0003	0
0.476	-0.0003	0
0.477	-0.0003	0
0.478	-0.00075	0
0.479	-0.00015	-5E-05
0.48	-0.00015	0
0.481	-0.00045	0
0.482	-0.00045	0
0.483	-0.0006	0
0.484	-0.00015	-5E-05
0.485	0	0
0.486	-0.0003	0
0.487	-0.00015	0
0.488	-0.0003	-5E-05
0.489	-0.0003	0
0.49	-0.0003	0
0.491	-0.00015	0
0.492	-0.00015	-5E-05
0.493	-0.00075	0
0.494	-0.00105	-5E-05
0.495	-0.0006	0
0.496	-0.00075	0
0.497	0.00015	0
0.498	-0.00075	0
0.499	-0.00045	0
0.5	-0.0003	0
0.501	-0.0003	0
0.502	-0.00015	0
0.503	-0.0003	0
0.504	-0.00075	-5E-05
0.505	-0.0003	0
0.506	-0.00015	-5E-05
0.507	-0.0003	0
0.508	-0.0003	0
0.509	-0.0006	0
0.51	-0.00075	0
0.511	-0.0009	0
0.512	-0.00075	-5E-05
0.513	-0.00045	0
0.514	-0.0006	0
0.515	-0.00045	0
0.516	-0.0003	0
0.517	-0.0006	-5E-05
0.518	0	0
0.519	-0.00045	-5E-05
0.52	0	0
0.521	-0.00015	0
0.522	-0.0003	0
0.523	-0.0003	0
0.524	-0.00075	-5E-05
0.525	-0.0006	0
0.526	-0.0006	-5E-05
0.527	-0.00075	-5E-05
0.528	-0.00045	-5E-05
0.529	-0.0006	0
0.53	-0.0006	-5E-05
0.531	-0.00045	-5E-05
0.532	-0.00045	0
0.533	-0.00045	0
0.534	-0.00045	-5E-05
0.535	-0.00075	-5E-05
0.536	-0.00015	-5E-05
0.537	-0.00045	-5E-05
0.538	-0.0006	5E-05
0.539	-0.00015	0
0.54	-0.0003	0
0.541	-0.0003	0
0.542	-0.00075	0
0.543	-0.0006	0
0.544	-0.0006	-5E-05
0.545	-0.00075	0
0.546	-0.0006	-5E-05
0.547	-0.0006	0
0.548	-0.0006	0
0.549	-0.00045	0
0.55	-0.00075	0
0.551	0	0
0.552	-0.0003	0
0.553	-0.00045	0
0.554	-0.00015	-5E-05
0.555	-0.00045	-5E-05
0.556	-0.00015	0
0.557	-0.0003	0
0.558	-0.00075	0
0.559	-0.0006	0
0.56	-0.00075	0
0.561	-0.00045	0
0.562	-0.00045	-5E-05
0.563	-0.00075	0
0.564	-0.0006	0
0.565	-0.00075	0
0.566	-0.0006	0
0.567	-0.0003	-5E-05
0.568	-0.0003	0
0.569	0	0
0.57	-0.00015	0
0.571	-0.00015	-5E-05
0.572	0	-5E-05
0.573	-0.0006	-5E-05
0.574	-0.00045	0
0.575	-0.00045	-5E-05
0.576	-0.0009	0
0.577	-0.00045	-5E-05
0.578	-0.0006	0
0.579	-0.00045	0
0.58	-0.00045	0
0.581	-0.0006	-5E-05
0.582	-0.0003	-5E-05
0.583	-0.00075	0
0.584	-0.00045	0
0.585	-0.00015	0
0.586	-0.00045	-5E-05
0.587	-0.00015	0
0.588	-0.00015	0
0.589	-0.00045	0
0.59	-0.00015	0
0.591	-0.00015	-5E-05
0.592	-0.0006	-5E-05
0.593	-0.00075	-5E-05
0.594	-0.00075	0
0.595	-0.0003	0
0.596	-0.0006	0
0.597	-0.00045	0
0.598	-0.0006	0
0.599	-0.00045	0
0.6	0	0
0.601	0	0
0.602	-0.00045	-5E-05
0.603	-0.00015	0
0.604	-0.00045	-5E-05
0.605	-0.00045	0
0.606	-0.0003	0
0.607	-0.0006	-5E-05
0.608	-0.00015	0
0.609	-0.0003	0
0.61	-0.00045	0
0.611	-0.00075	-5E-05
0.612	-0.0009	0
0.613	-0.0003	-5E-05
0.614	-0.0003	0
0.615	-0.00075	0
0.616	-0.00015	-5E-05
0.617	-0.0006	-5E-05
0.618	-0.00015	0
0.619	-0.0003	0
0.62	-0.0003	0
0.621	0.00015	0
0.622	-0.00045	-5E-05
0.623	-0.00045	0
0.624	-0.00075	-5E-05
0.625	-0.00045	0
0.626	-0.0003	-5E-05
0.627	-0.0006	0
0.628	-0.0009	0
0.629	-0.0009	0
0.63	-0.0006	0
0.631	-0.00045	-5E-05
0.632	-0.0006	-5E-05
0.633	-0.00045	0
0.634	-0.0003	-5E-05
0.635	-0.0006	-5E-05
0.636	-0.00045	0
0.637	-0.0006	0
0.638	-0.0006	0
0.639	0	-5E-05
0.64	-0.00015	-5E-05
0.641	-0.0003	-5E-05
0.642	-0.00015	-5E-05
0.643	-0.00075	0
0.644	-0.0006	-5E-05
0.645	-0.0009	0
0.646	-0.0009	0
0.647	-0.00075	-5E-05
0.648	-0.0009	0
0.649	-0.0003	0
0.65	-0.00045	-5E-05
0.651	-0.00015	0
0.652	0	-5E-05
0.653	-0.00045	-5E-05
0.654	-0.0003	0
0.655	-0.0003	0
0.656	-0.0006	0
0.657	-0.0003	-5E-05
0.658	-0.00075	0
0.659	-0.00045	0
0.66	-0.0003	-5E-05
0.661	-0.00075	0
0.662	-0.00045	-5E-05
0.663	-0.00075	0
0.664	-0.00045	0
0.665	-0.0003	0
0.666	-0.00075	0
0.667	-0.00015	0
0.668	-0.0003	0
0.669	-0.00015	0
0.67	0	0
0.671	-0.00015	0
0.672	-0.00015	0
0.673	-0.00045	0
0.674	-0.00075	-5E-05
0.675	0	0
0.676	-0.0003	0
0.677	-0.0003	0
0.678	-0.0003	0
0.679	-0.00045	0
0.68	0	-5E-05
0.681	-0.00015	0
0.682	0	0
0.683	-0.00015	0
0.684	-0.00075	0
0.685	0	0
0.686	0.00045	0
0.687	0.00015	0
0.688	0.00015	0
0.689	-0.00015	0
0.69	0.00015	0
0.691	0.00045	0
0.692	-0.00015	-5E-05
0.693	0	0
0.694	-0.0003	0
0.695	-0.00015	0
0.696	-0.0003	0
0.697	-0.0003	0
0.698	0	0
0.699	-0.00015	0
0.7	-0.00015	0
0.701	0.00015	0
0.702	-0.0003	-5E-05
0.703	0.00015	0
0.704	0	0
0.705	-0.00015	0
0.706	0.0003	0
0.707	0	-5E-05
0.708	0	0
0.709	-0.0003	0
0.71	-0.00045	-5E-05
0.711	0.00015	-5E-05
0.712	-0.00045	0
0.713	-0.00045	0
0.714	-0.0003	0
0.715	-0.00015	-5E-05
0.716	0.0003	0
0.717	-0.00015	0
0.718	-0.00045	0
0.719	-0.00015	0
0.72	-0.00015	-5E-05
0.721	0.00075	0
0.722	-0.00015	0
0.723	-0.00075	-5E-05
0.724	-0.0003	0
0.725	-0.0009	0
0.726	-0.00015	0
0.727	-0.00045	-5E-05
0.728	-0.00105	-5E-05
0.729	-0.0006	-5E-05
0.73	-0.0009	0
0.731	0.0003	0
0.732	0	0
0.733	-0.0009	0
0.734	-0.00075	0
0.735	-0.0003	0
0.736	-0.00045	0
0.737	0.0003	0
0.738	-0.00045	-5E-05
0.739	-0.0006	0
0.74	-0.0003	0
0.741	-0.0006	0
0.742	0.00015	0
0.743	-0.00075	0
0.744	-0.0009	0
0.745	-0.0009	0
0.746	-0.00075	-5E-05
0.747	-0.00045	-5E-05
0.748	-0.00075	0
0.749	-0.00045	0
0.75	-0.00015	0
0.751	-0.00045	0
0.752	0.0003	0
0.753	0.00015	-5E-05
0.754	-0.00015	0
0.755	0.00015	0
0.756	-0.0003	-5E-05
0.757	-0.00015	-5E-05
0.758	-0.00045	-5E-05
0.759	-0.00045	0
0.76	0	-5E-05
0.761	-0.0003	0
0.762	-0.00075	0
0.763	-0.0006	-5E-05
0.764	-0.0003	0
0.765	-0.00015	0
0.766	-0.0003	0
0.767	-0.0006	-5E-05
0.768	0	-5E-05
0.769	0	0
0.77	0.00015	0
0.771	0	-5E-05
0.772	0	-5E-05
0.773	0.0006	0
0.774	-0.00075	0
0.775	-0.00045	0
0.776	-0.0006	-5E-05
0.777	-0.00045	-5E-05
0.778	0	-5E-05
0.779	-0.00075	0
0.78	-0.00075	0
0.781	-0.00015	0
0.782	-0.00015	-5E-05
0.783	-0.00015	0
0.784	-0.00105	0
0.785	-0.00045	0
0.786	0.00015	-5E-05
0.787	-0.0003	-5E-05
0.788	-0.00015	-5E-05
0.789	-0.0003	0
0.79	-0.00045	0
0.791	0	-5E-05
0.792	-0.0009	0
0.793	-0.00105	0
0.794	-0.00045	-5E-05
0.795	-0.00045	0
0.796	-0.00015	-5E-05
0.797	-0.0009	0
0.798	-0.00105	-5E-05
0.799	-0.0003	-5E-05
0.8	-0.0006	0
0.801	-0.0006	0
0.802	-0.0006	-5E-05
0.803	-0.00075	-5E-05
0.804	0.0003	-5E-05
0.805	-0.00105	0
0.806	-0.0012	0
0.807	-0.00075	0
0.808	-0.00075	0
0.809	-0.00075	-5E-05
0.81	-0.00075	0
0.811	-0.00105	0
0.812	-0.00075	0
0.813	-0.0009	-5E-05
0.814	-0.00105	0
0.815	-0.00105	0
0.816	-0.0012	-5E-05
0.817	-0.0006	0
0.818	-0.00075	-5E-05
0.819	-0.0006	0
0.82	-0.00075	0
0.821	-0.0003	0
0.822	-0.0003	-5E-05
0.823	-0.0009	0
0.824	-0.0006	0
0.825	-0.00015	0
0.826	-0.00105	0
0.827	-0.0009	0
0.828	-0.00045	0
0.829	-0.00105	0
0.83	-0.0009	0
0.831	-0.00105	-5E-05
0.832	-0.00075	0
0.833	-0.0003	0
0.834	-0.00075	0
0.835	-0.0003	0
0.836	-0.0009	0
0.837	-0.0006	0
0.838	-0.0006	-5E-05
0.839	-0.0012	0
0.84	-0.0006	0
0.841	-0.0006	0
0.842	-0.00075	0
0.843	-0.0009	-5E-05
0.844	-0.0012	-5E-05
0.845	-0.00045	0
0.846	-0.0003	0
0.847	-0.0009	-5E-05
0.848	-0.00135	-5E-05
0.849	-0.0009	-5E-05
0.85	-0.0003	0
0.851	-0.0003	0
0.852	-0.00075	0
0.853	-0.0003	0
0.854	-0.0006	0
0.855	-0.00045	0
0.856	-0.00015	-5E-05
0.857	-0.00075	0
0.858	-0.00075	-5E-05
0.859	-0.00075	-5E-05
0.86	-0.0003	0
0.861	-0.0009	-5E-05
0.862	-0.0006	0
0.863	-0.00075	0
0.864	-0.0006	0
0.865	-0.00105	-5E-05
0.866	-0.00015	0
0.867	-0.00045	-5E-05
0.868	-0.0003	0
0.869	-0.00075	-5E-05
0.87	-0.00045	0
0.871	0.0003	0
0.872	-0.00045	0
0.873	-0.00045	0
0.874	-0.00045	-5E-05
0.875	-0.00045	0
0.876	-0.0003	-5E-05
0.877	-0.0003	-5E-05
0.878	-0.0012	0
0.879	-0.0009	0
0.88	-0.00135	0
0.881	-0.00105	0
0.882	-0.00015	0
0.883	-0.0006	0
0.884	-0.0003	-5E-05
0.885	-0.00045	0
0.886	-0.00045	0
0.887	-0.00015	0
0.888	-0.0006	-5E-05
0.889	-0.0003	-5E-05
0.89	-0.00075	0
0.891	-0.00045	0
0.892	-0.0006	-5E-05
0.893	-0.00075	-5E-05
0.894	-0.00075	-5E-05
0.895	-0.00075	-5E-05
0.896	-0.00075	0
0.897	-0.0006	0
0.898	-0.0003	-5E-05
0.899	-0.0006	-5E-05
0.9	-0.00075	-5E-05
0.901	-0.0009	0
0.902	-0.00015	0
0.903	0.00015	0
0.904	-0.0003	0
0.905	0.00015	-5E-05
0.906	-0.00045	-5E-05
0.907	-0.0003	-5E-05
0.908	-0.0003	0
0.909	-0.00105	0
0.91	-0.00045	-5E-05
0.911	-0.00075	0
0.912	-0.0006	-5E-05
0.913	-0.00105	-5E-05
0.914	-0.0003	0
0.915	-0.0003	-5E-05
0.916	-0.00075	0
0.917	-0.00015	0
0.918	-0.0003	0
0.919	0.0003	0
0.92	0.00015	-5E-05
0.921	-0.00045	0
0.922	-0.00015	0
0.923	0	-5E-05
0.924	-0.0009	-5E-05
0.925	-0.0003	-5E-05
0.926	-0.00105	0
0.927	-0.00075	-5E-05
0.928	-0.0003	0
0.929	-0.00075	-5E-05
0.93	-0.0009	-5E-05
0.931	-0.0006	0
0.932	-0.0006	0
0.933	0.00015	0
0.934	-0.00045	0
0.935	-0.0003	0
0.936	-0.00045	-5E-05
0.937	-0.00015	-5E-05
0.938	-0.00015	-5E-05
0.939	-0.0003	0
0.94	-0.00015	-5E-05
0.941	-0.00015	0
0.942	-0.00045	-5E-05
0.943	0.0003	-5E-05
0.944	-0.00075	0
0.945	-0.00135	-5E-05
0.946	0.00015	0
0.947	-0.00075	0
0.948	-0.0006	0
0.949	-0.0003	0
0.95	-0.00015	-5E-05
0.951	-0.0003	0
0.952	-0.00045	0
0.953	-0.0003	0
0.954	-0.00075	0
0.955	-0.00075	-5E-05
0.956	-0.00105	0
0.957	-0.0003	-5E-05
0.958	-0.0006	-5E-05
0.959	-0.00045	0
0.96	-0.00075	-5E-05
0.961	-0.0012	0
0.962	-0.00105	0
0.963	-0.0006	-5E-05
0.964	-0.00015	-5E-05
0.965	-0.00075	0
0.966	-0.00075	0
0.967	-0.0003	-5E-05
0.968	-0.0006	0
0.969	0.00015	-5E-05
0.97	-0.0003	-5E-05
0.971	-0.00015	0
0.972	0.00015	0
0.973	-0.0006	0
0.974	-0.0003	0
0.975	-0.0006	-5E-05
0.976	-0.0009	0
0.977	-0.00075	-5E-05
0.978	-0.00015	-5E-05
0.979	-0.0009	-5E-05
0.98	-0.0006	-5E-05
0.981	-0.0003	0
0.982	-0.0006	-5E-05
0.983	-0.0006	0
0.984	-0.0003	0
0.985	-0.00015	-5E-05
0.986	-0.0003	0
0.987	-0.0006	-5E-05
0.988	-0.0009	-5E-05
0.989	-0.0003	0
0.99	-0.0003	0
0.991	-0.0006	0
0.992	0.00015	0
0.993	-0.0006	0
0.994	-0.0006	0
0.995	-0.00015	-5E-05
0.996	-0.00075	-5E-05
0.997	-0.00075	0
0.998	-0.00075	0
0.999	-0.0006	0
1	-0.0003	-5E-05
1.001	-0.00045	0
1.002	-0.00015	0
1.003	-0.00045	-5E-05
1.004	-0.00045	0
1.005	0	-5E-05
1.006	-0.0009	0
1.007	-0.00045	0
1.008	-0.00045	0
1.009	-0.0009	0
1.01	0	0
1.011	-0.00045	5E-05
1.012	-0.00075	-5E-05
1.013	-0.0003	0
1.014	-0.00075	-5E-05
1.015	-0.00075	-5E-05
1.016	0	0
1.017	-0.00045	-5E-05
1.018	-0.00015	-5E-05
1.019	-0.0006	0
1.02	-0.00015	-5E-05
1.021	0.0003	0
1.022	-0.00045	0
1.023	0.00015	0
1.024	-0.0009	0
1.025	-0.00045	0
1.026	-0.00015	0
1.027	-0.00075	0
1.028	-0.0006	0
1.029	-0.00015	0
1.03	-0.0006	-5E-05
1.031	-0.0006	0
1.032	-0.0006	0
1.033	0	0
1.034	-0.00015	0
1.035	-0.0006	-5E-05
1.036	-0.00015	-5E-05
1.037	-0.00015	0
1.038	-0.0003	0
1.039	0.0003	0
1.04	-0.00075	-5E-05
1.041	-0.0003	0
1.042	-0.00015	0
1.043	-0.00045	0
1.044	0.00015	0
1.045	-0.0009	-5E-05
1.046	-0.00075	-5E-05
1.047	-0.00045	0
1.048	-0.0009	-5E-05
1.049	-0.00045	0
1.05	-0.0003	0
1.051	-0.0009	0
1.052	-0.0003	0
1.053	0.0003	-5E-05
1.054	-0.00015	0
1.055	-0.0006	-5E-05
1.056	-0.0006	0
1.057	-0.00015	0
1.058	-0.0006	-5E-05
1.059	-0.00075	0
1.06	-0.00075	0
1.061	-0.00075	-5E-05
1.062	-0.0006	0
1.063	-0.0009	-5E-05
1.064	-0.0003	0
1.065	0.0003	-5E-05
1.066	-0.00075	0
1.067	-0.00015	0
1.068	-0.00045	-5E-05
1.069	-0.0003	0
1.07	-0.0003	0
1.071	-0.0003	-5E-05
1.072	-0.0003	0
1.073	-0.00045	-5E-05
1.074	-0.0006	-5E-05
1.075	0	0
1.076	-0.00105	0
1.077	-0.00105	0
1.078	-0.00015	0
1.079	-0.0009	0
